PART NUMBER,FINISHED GOODS DESCRIPTION,PCS,QTY,RM PER PCS WT,TOTAL WT,PRICE,VALUE
010501396007,"5"" SS PACKER BODY 3.96""L SS304",PCS,0,0,0,340,0
010501396014,"5"" CS PACKER BODY 3.96""L A106",PCS,0,1.44,0,95,0.00
010520396007,"5"" SS PACKER BI-SEAL ASSEMBLY 3.96""L SS304",PCS,0,1.7,0,560,0.00
010520396014,"5"" CS PACKER BI-SEAL ASSEMBLY 3.96""L A106",PCS,5,1.71,5,356,1780.00
010530396007,"5"" SS PACKER TRI-SEAL ASSEMBLY 3.96""L SS304",PCS,0,1.686,0,560,0.00
010530396014,"5"" CS PACKER TRI-SEAL ASSEMBLY 3.96""L A106",PCS,1,1.71,1,356,356.00
020600000007,"6"" SS FLOW WELL SEAL ASSEMBLY",PCS,0,3.635,0,1100,0.00
020600000014,"6"" CS FLOW WELL SEAL ASSEMBLY",PCS,2,3.635,2,744,1488.00
020600010007,"6"" SS FLOW WELL SEAL TOP PLATE",PCS,0,3.635,0,900,0.00
020600010014,"6"" CS FLOW WELL SEAL TOP PLATE",PCS,0,1.465,0,75,0.00
020600020007,"6"" SS FLOW WELL SEAL BOTTOM PLATE",PCS,0,3.635,0,900,0.00
020600020014,"6"" CS FLOW WELL SEAL BOTTOM PLATE",PCS,0,1.257,0,75,0.00
020600030024,"6"" FLOW WELL SEAL RUBBER",PCS,80,0,80,87,0
020600040014,FLOW WELL SEAL TOP PLATE CS,NOS,0,1.52,0,70,0.00
020600050014,FLOW WELL SEAL BOTTOM PLATE CS,NOS,0,1.55,0,70,0.00
030000500029,MANHOLE NYLON WASHER,NOS,2310,0.001,2.31,2.5,5775.00
030000600029,"MANHOLE SS 3/8 16UNC 9/16 HEX BOLT 3/4"" LONG",NOS,2900,0.016,46.4,11,31900.00
030000800007,MANHOLE SS RIVET 17.98MM LONG,NOS,1660,0.005,8.3,4.25,7055.00
030000800029,MANHOLE ALUM RIVEET 4.8MM DIA (BIG),NOS,0,0.0046,0,0.85,0.00
030250700029,MANHOLE ALUM RIVET 2.5MM / 2MM DIA AND 6.5MM LONG(NAME PLATE),NOS,2500,0.36,900,0.5,1250.00
030520175029,"5"" MANHOLE WITH 7 1/2"" GALV SKIRT FULL ASSEMBLY",PCS,0,0,0,340,0.00
0305202M0029,"5"" MANHOLE TOP PLATE MACHINING",PCS,76,1.22,76,138,10488.00
0305203M0029,"5"" MANHOLE BOTTOM RING MACHINING",PCS,38,0,0,166.75,6336.50
030520400029,"5"" MANHOLE NEOPRINE GASKET",NOS,17,0.103,1.751,46,782.00
030520975029,"5"" MANHOLE BOTTOM RING GALV ASSY (7.5"" LONG)",nos,8,1.9,8,232.15,1857.20
030521000029,"5"" MANHOLE WITH NAME PLATE ASSEMBLY",PCS,0,0,0,144,0
030521212029,"5"" MANHOLE BOTTOM RING GALV ASSY (12"" LONG)",PCS,0,0,0,184.75,0.00
