PART NUMBER,RAW MATERIAL DESCRIPTION,PURPOSE,UOM,QTY,WT PER mtr,TOTAL WT,PRICE,VALUE
030000900029,WELDING FILLER WIRE ER NiFeCI 1.2MM,,NOS,12,0,0,3640,43680.00
0305202C0029,"5"" MANHOLE TOP PLATE CASTING",,NOS,0,1.22,0,138,0.00
0305203C0029,"5"" MANHOLE BOTTOM RING CASTING",,NOS,30,1.45,43.5,172,5160.00
030520775029,"5"" MANHOLE  WITH 7 1/2"" GALV SKIRT CUTTING ROLLING AND SPOT WELDING",,NOS,0,0.45,0,47.4,0.00
030521112029,"5"" MANHOLE WITH 12"" GALV SKIRT CUTTING",,NOS,0,0.71,0,56.88,0.00
0306202C0025,"6"" ALUM MANHOLE TOP PLATE CASTING H20 NEW",,NOS,0,0.826,0,283.6,0.00
0306203C0025,"6"" ALUM MANHOLE BOTTOM RING CASTING H20 NEW",,NOS,0,0.81,0,237.6,0.00
030620500025,"6"" ALUM MANHOLE CARK WASHER",,NOS,0,0.05,0,2,0.00
030620702025,"6"" ALUM MANHOLE ALUMINIUM PIPE CUTTING 2""LONG (THIN PIPE)",,NOS,0,0,0,310,0
030620708025,"6"" ALUM MANHOLE ALUMINIUM PIPE CUTTING 8""LONG (THICK PIPE)",,NOS,0,0,0,310,0
030620710025,"6"" ALUM MANHOLE ALUMINIUM PIPE CUTTING 10""LONG (THICK PIPE)",,NOS,0,0,0,310,0
030620799025,"6"" ALUM MANHOLE ALUMINIUM PIPE CUTTING RIDEAU",,NOS,0,0,0,310,0
030620900025,WELDING FILLER CO2 MIG WIRE COIL 1.2MM ALUM MANHOLE,,NOS,28,0,0,725,20300.00
030720400025,"7"" ALUM MANHOLE O-RING",,NOS,32,0.012,0.384,40,1280.00
0308202C0029,"8"" MANHOLE TOP PLATE CASTING (2 HOLE)",,NOS,0,2.487,0,285.2,0.00
0308203C0029,"8"" MANHOLE BOTTOM RING CASTING (2 HOLE)",,NOS,2,3.12,6.24,370.3,740.60
0308302C0029,"8"" MANHOLE TOP PLATE CASTING (3 HOLE)",,NOS,0,2.404,0,267.95,0.00
0308303C0029,"8"" MANHOLE BOTTOM RING CASTING (3 HOLE)",,NOS,0,3.358,0,364.55,0.00
030830775029,"8"" MANHOLE 7 1/2"" L GALV SKIRT CUTTING,ROLLING AND SPOT WELDING",,NOS,0,0.73,0,71.1,0.00
030830875029,"8"" MANHOLE WITH 7 1/2"" LONG STEEL PIPE CUTTING",,NOS,0,5,0,345,0.00
030830912029,"8"" MANHOLE 12"" L GALV SKIRT CUTTING,ROLLING AND SPOT WELDING",,NOS,0,1.16,0,109,0.00
030831012029,"8"" MANHOLE WITH 12"" LONG STEEL PIPE CUTTING",,NOS,0,7,0,483,0.00
0312302C0029,"12"" MANHOLE TOP PLATE CASTING",,NOS,1,4.29,4.29,494.04,494.04
0312303C0029,"12"" MANHOLE BOTTOM RING CASTING",,NOS,1,5.65,5.65,650.8,650.80
04011025C003,"1"" R&D COUPLING CF8 CASTING",,NOS,1,0.339,0,162.75,0.00
04021027C003,"2"" R&D COUPLING CF8 CASTING",,NOS,0,0.62,0,296.16,0.00
04121025C003,"1.25"" R&D COUPLING CF8 CASTING",,NOS,0,0.48,0,183.36,0.00
04151025C003,"1.5"" R&D COUPLING CF8 CASTING",,NOS,0,0.52,0,284,0.00
075000000026,0.75MM THICKNESS GP SHEET FOR GALV SKIRT,,SHEET,12,18,216,79,17064.00
091012010002,"10"" DUAL ROTARY SHOE 12 BUTTON BODY",,NOS,0,4.7,0,1265,0
091022010002,"10"" DUAL ROTARY SHOE 22 BUTTON BODY",,NOS,0,4.7,0,1265,0
091228010002,"12"" DUAL ROTARY SHOE 28 BUTTON BODY",,NOS,0,0,0,1265,0.00
100400100014,"4"" ROUND MONUMENT TOP CAP ASSEMBLY",,PCS,1,1,1,90,90.00
100400110014,"4"" ROUND MONUMENT TOP CAP PIPE WITH TOP PLATE WELDING SUB ASSY",,PCS,0,0,0,90,0
100400200014,"4"" ROUND MONUMENT TOP CAP PIPE",,NOS,0,0.497,0,65,0.00
100400300014,"4"" ROUND MONUMENT TOP PLATE",,NOS,4,0.364,1.456,75,109.20
100400400014,"4"" ROUND MONUMENT TOP LOCK PLATE",,NOS,0,0.085,0,66,0.00
100400600014,"4"" ROUND MONUMENT BOTTOM LOCK PLATE",,NOS,2,0.057,0.114,65,7.41
100400800014,"4"" ROUND MONUMENT U CLAMP",,NOS,45,0.082,3.69,65,239.85
100440500014,"4"" ROUND MONUMENT 4' LONG PIPE CUTTING",,NOS,0,9,0,85,0.00
100450500014,"4"" ROUND MONUMENT 5' LONG PIPE CUTTING",,NOS,0,9,0,85,0.00
100640500014,"6"" ROUND MONUMENT 4' LONG PIPE CUTTING",,NOS,0,0,0,85,0
100650500014,"6"" ROUND MONUMENT 5' LONG PIPE CUTTING",,NOS,0,0,0,85,0
110400100014,"4"" SQUARE MONUMENT TOP PLATE",,NOS,20,0.243,4.86,75,364.50
110400200014,"4"" SQUARE MONUMENT RAIN COVER",,NOS,7,0.112,0.784,75,58.80
110400300014,"4"" SQUARE MONUMENT BOTTOM TOP LOCK PLATE",,NOS,14,0.09,1.26,56,70.56
110400500014,"4"" SQUARE MONUMENT HINGE",,NOS,103,0.122,12.566,30,3090.00
110440400014,"4"" SQUARE MONUMENT 4' LONG ANGLE PIPE CUTTING",,NOS,0,7.65,0,95,0.00
110450400014,"4"" SQUARE MONUMENT 5' LONG ANGLE PIPE CUTTING",,NOS,0,7.65,0,95,0.00
12060101C025,"6"" ALUM WELL CAP TOP PLATE CASTING",,NOS,0,0.995,0,346.5,0.00
12060102C025,"6"" ALUM WELL CAP BOTTOM RING CASTING",,NOS,0,0.54,0,192.5,0.00
12060401C025,"6"" WTCC ALUM WELL CAP TOP PLATE CASTING",,NOS,0,0,0,0,0
12060402C025,"6"" WTCC ALUM WELL CAP BOTTOM RING CASTING",,NOS,0,0,0,0,0
12067300C025,"6-7"" WELL CAP CASTING",,NOS,0,0,0,478,0
12080300C025,"8"" WELL CAP CASTING ALUMINIUM",,NOS,0,2.326,0,772.5,0.00
B01061000013,27 MM ACROSS FLAT HEXAGON BAR B21 BRASS,GARDEN HOSE,MTR,0,5,0,585,0.00
B01371000013,35 MM ACROSS FLAT HEXAGON BAR B21 BRASS,GARDEN HOSE,MTR,0,8.3,0,585,0.00
B01731000013,44 MM ACROSS FLAT HEXAGON BAR B21 BRASS,GARDEN HOSE,MTR,0,13.26,0,585,0.00
B02161040007,"1/2"" 13 UNC HEX BOLT 1.5"" L FLOW WELL SS",,NOS,223,0.049,10.927,40,8920.00
B02190200033,"2.19"" OD X 2.0"" ID BRASS BARREL PIPE",,MTR,16.56,3.51,58.1256,780,45337.97
B02440225033,"2.44"" OD X 2.25"" ID BRASS BARREL PIPE",,MTR,16.146,3.93,63.45378,780,49493.95
B02690250033,"2.69"" OD X 2.5"" ID BRASS BARREL PIPE",,MTR,55.613,4.24,235.79912,780,183923.3136
L01250125014,"1.25"" X 1.25"" L ANGLE 1/8"" THICKNESS",,MTR,0,1.5,0,64,0.00
MBC050010003,"0.5"" MANUAL BONNET CASTING",,NOS,0,0.36,0,190,0.00
MBC075010003,"0.75"" MANUAL BONNET CASTING",,NOS,0,0.51,0,274,0.00
MBC100010003,"1.0"" MANUAL BONNET CASTING",,NOS,0,0.52,0,273,0.00
MBC141201003,"1/4"" - 1/2"" BONNET BIOGUARD CASTING",,NOS,0,0,0,63,0
MBC150010003,"1.5"" MANUAL BONNET CASTING",,NOS,0,1.65,0,861,0.00
MBC200010003,"2.0"" MANUAL BONNET CASTING",,NOS,0,2.15,0,1128.75,0.00
MBM050030013,"0.5"" BUSH B21 BRASS",,PCS,164,0.014,2.296,730,1676.08
MBM050040012,"0.5"" INSERT B21 C46400 BRASS",,PCS,441,0.003,1.323,730,965.79
MBM050060003,"0.5"" COMPRESSOR CASTING",,NOS,63,0.48,0,0,0.00
MBM050120003,"0.5"" MANUAL BONNET STD MACHINING",,PCS,76,0.217,76,189,14364.00
MBM050220003,"0.5"" MANUAL BONNET SPOTFACE MACHINING",,PCS,29,0.186,29,189,5481.00
MBM075030013,"0.75"" BUSH B21 BRASS",,PCS,53,0.016,0.848,730,619.04
